nome,clube,elo,categoria
Jogador 001,Clube A,2190,ABS
Jogador 002,Clube B,2180,ABS
Jogador 003,Clube C,2170,ABS
Jogador 004,Clube D,2160,ABS
Jogador 005,Clube E,2150,ABS
Jogador 006,Clube F,2140,ABS
Jogador 007,Clube G,2130,ABS
Jogador 008,Clube H,2120,ABS
Jogador 009,Clube I,2110,ABS
Jogador 010,Clube J,2100,ABS
Jogador 011,Clube A,2090,ABS
Jogador 012,Clube B,2080,ABS
Jogador 013,Clube C,2070,ABS
Jogador 014,Clube D,2060,ABS
Jogador 015,Clube E,2050,ABS
Jogador 016,Clube F,2040,ABS
Jogador 017,Clube G,2030,ABS
Jogador 018,Clube H,2020,ABS
Jogador 019,Clube I,2010,ABS
Jogador 020,Clube J,2000,ABS
