nome,clube,elo,categoria
Jogador 001,Clube A,2295,ABS
Jogador 002,Clube B,2290,ABS
Jogador 003,Clube C,2285,ABS
Jogador 004,Clube D,2280,ABS
Jogador 005,Clube E,2275,ABS
Jogador 006,Clube F,2270,ABS
Jogador 007,Clube G,2265,ABS
Jogador 008,Clube H,2260,ABS
Jogador 009,Clube I,2255,ABS
Jogador 010,Clube J,2250,ABS
Jogador 011,Clube K,2245,ABS
Jogador 012,Clube L,2240,ABS
Jogador 013,Clube A,2235,ABS
Jogador 014,Clube B,2230,ABS
Jogador 015,Clube C,2225,ABS
Jogador 016,Clube D,2220,ABS
Jogador 017,Clube E,2215,ABS
Jogador 018,Clube F,2210,ABS
Jogador 019,Clube G,2205,ABS
Jogador 020,Clube H,2200,ABS
Jogador 021,Clube I,2195,ABS
Jogador 022,Clube J,2190,ABS
Jogador 023,Clube K,2185,ABS
Jogador 024,Clube L,2180,ABS
Jogador 025,Clube A,2175,ABS
Jogador 026,Clube B,2170,ABS
Jogador 027,Clube C,2165,ABS
Jogador 028,Clube D,2160,ABS
Jogador 029,Clube E,2155,ABS
Jogador 030,Clube F,2150,ABS
Jogador 031,Clube G,2145,ABS
Jogador 032,Clube H,2140,ABS
Jogador 033,Clube I,2135,ABS
Jogador 034,Clube J,2130,ABS
Jogador 035,Clube K,2125,ABS
Jogador 036,Clube L,2120,ABS
Jogador 037,Clube A,2115,ABS
Jogador 038,Clube B,2110,ABS
Jogador 039,Clube C,2105,ABS
Jogador 040,Clube D,2100,ABS
Jogador 041,Clube E,2095,ABS
Jogador 042,Clube F,2090,ABS
Jogador 043,Clube G,2085,ABS
Jogador 044,Clube H,2080,ABS
Jogador 045,Clube I,2075,ABS
Jogador 046,Clube J,2070,ABS
Jogador 047,Clube K,2065,ABS
Jogador 048,Clube L,2060,ABS
Jogador 049,Clube A,2055,ABS
Jogador 050,Clube B,2050,ABS
Jogador 051,Clube C,2045,ABS
